	CM009	CM021	CM086	CM110	CM176	CM179	CM181	CM184	CM198	CM199	CM222	CM246	CM257	CM259	CM260	CM261	CM262	CM293	CM362	CM372	CM436	CM437	CM438	CM444	CM452	CM469	CM471	CM538	CM557
CM009	0.0	0.073398699184517	0.1457879984005185	0.19517570840086468	0.09603155547759895	0.09975973991439066	0.0929193613239589	0.08561029554147533	0.12719722784389123	0.12526287786837126	0.15302974810370706	0.08748532885585962	0.07700629297787064	0.09315922214102074	0.07896748194019816	0.13266628776034456	0.11076550935593286	0.12587437391584888	0.18629124399263303	0.080380096974934	0.10014371006952096	0.08580911670984472	0.06861869019864208	0.07789971339167381	0.07050219919109006	0.0864154157919687	0.09981225139196723	0.12898464084588612	0.1333723115360289
CM021	0.073398699184517	0.0	0.11043378215950962	0.18691399890929492	0.07098179170384547	0.07270613881116482	0.06446447076759029	0.054529050659293275	0.08277208133313702	0.08006089808067365	0.12042279699087516	0.07233859126567521	0.07794159503294953	0.09536059825329628	0.07984025494013833	0.09166090889923276	0.07821284100864496	0.08272622173379499	0.1643740364406686	0.06135731642745156	0.12852626772023437	0.11083132381324677	0.08944678968636616	0.07573436954424063	0.07062033982835557	0.07211726873045012	0.09190195471261685	0.1166959276834934	0.1010350862328855
CM086	0.1457879984005185	0.11043378215950962	0.0	0.18654504528232652	0.1139173853563078	0.10140729606989791	0.10099359056838304	0.10726336818936662	0.08892993175592796	0.08242552112362352	0.10007242610118335	0.10949039873136267	0.12294895671233466	0.1383399771847704	0.12386761300831269	0.0974037949319747	0.11778516132395586	0.10499828252166563	0.2073447203534148	0.10947539319597176	0.16813804252169406	0.16005240937277354	0.14640453374904014	0.14364586399175322	0.14141883480534884	0.15504294821111705	0.1508856199523023	0.13454826583407778	0.044516457914681166
CM110	0.19517570840086468	0.18691399890929492	0.18654504528232652	0.0	0.2105839523795118	0.21033320630965327	0.18527025891375062	0.1890643310606195	0.19568503591989764	0.17519177094047844	0.2594197162463253	0.1920841643238368	0.18161685279828232	0.2030674527103668	0.18869698944407542	0.24743919384412846	0.23570088818809048	0.21912169083183275	0.21467541371263554	0.17430388738949754	0.20812582640142557	0.2025512572684859	0.18831694000805338	0.19409793202478656	0.19214496451446453	0.21053586658535303	0.23754579250061272	0.2644290168885246	0.19873930739147752
CM176	0.09603155547759895	0.07098179170384547	0.1139173853563078	0.2105839523795118	0.0	0.030076803663390373	0.03760764843317295	0.03880553614341723	0.07785422941782943	0.07971798461440505	0.11011623973966833	0.047176647456180804	0.05882112343209316	0.06776652613273165	0.05310778911820655	0.09031254450976275	0.07051017993800246	0.09273991464605023	0.18814913887922233	0.07527285617243289	0.10519375933558989	0.0944631903597158	0.08350519782410615	0.08701434634132926	0.08330858851703661	0.10139497557663654	0.08533240227572281	0.12978205548086866	0.12719447293966965
CM179	0.09975973991439066	0.07270613881116482	0.10140729606989791	0.21033320630965327	0.030076803663390373	0.0	0.053765260627879716	0.04408641692569469	0.06632497225913077	0.06653915328150553	0.09575806404275153	0.061404505828446115	0.07458715688695139	0.08828257958764227	0.07092750498069685	0.07546531836020849	0.056993093489534304	0.07524169964940293	0.1907634832758735	0.07608503050598071	0.12006809868159482	0.10746704656717385	0.09674920993416691	0.09137533114858636	0.08833886228247696	0.10294129688709901	0.09150322628982628	0.11224026566093674	0.11093634726526756
CM181	0.0929193613239589	0.06446447076759029	0.10099359056838304	0.18527025891375062	0.03760764843317295	0.053765260627879716	0.0	0.03565005486746012	0.08090555716773747	0.07371948481153542	0.11353363358934888	0.04667787262575638	0.050600360805921465	0.05710302235180067	0.04544851722708447	0.1045671243678556	0.08143116360389427	0.10377743646714814	0.18294191168055962	0.0735314993155877	0.10262770970849958	0.09438705373395168	0.08453991536909175	0.08346714080829344	0.08057129122687964	0.10434230947001093	0.0960347486241746	0.14053230999792324	0.11724279417369214
CM184	0.08561029554147533	0.054529050659293275	0.10726336818936662	0.1890643310606195	0.03880553614341723	0.04408641692569469	0.03565005486746012	0.0	0.08255821234051454	0.08033202286285769	0.10669429716857283	0.04759683620967879	0.04711703501652999	0.0641998984309308	0.049393175085326105	0.08549507942936098	0.06392153265615406	0.08449275177181605	0.17673710472779713	0.05300334912219452	0.10583647633806481	0.08963070198259658	0.07527881574731034	0.06288644903426734	0.05986926613063542	0.08012158529139674	0.08671690036087816	0.12112424168545619	0.11598116790648373
CM198	0.12719722784389123	0.08277208133313702	0.08892993175592796	0.19568503591989764	0.07785422941782943	0.06632497225913077	0.08090555716773747	0.08255821234051454	0.0	0.030194687964125683	0.13006482395575453	0.09620800877976728	0.1067683948246133	0.1097573926225811	0.0967720470648479	0.09928170997161243	0.08773650969303368	0.08034903370977531	0.17530024191609378	0.0891455767692382	0.14826772649780917	0.13994795962561207	0.1311461719889635	0.11586481268743615	0.11756275948822266	0.12067062345689535	0.12290071918020336	0.1309442029365411	0.10066872763452261
CM199	0.12526287786837126	0.08006089808067365	0.08242552112362352	0.17519177094047844	0.07971798461440505	0.06653915328150553	0.07371948481153542	0.08033202286285769	0.030194687964125683	0.0	0.13462141349175044	0.09700648238650178	0.10563473860504559	0.11323984889127418	0.09880454016312118	0.10620682387580922	0.09361517444996162	0.08333961778408541	0.1726557794067694	0.08932549718731998	0.15102371198477993	0.1419633216924689	0.1319370844731259	0.11795635686513223	0.11891852866574082	0.12183500000357264	0.12432335969737955	0.13451437950178152	0.09294878141334979
CM222	0.15302974810370706	0.12042279699087516	0.10007242610118335	0.2594197162463253	0.11011623973966833	0.09575806404275153	0.11353363358934888	0.10669429716857283	0.13006482395575453	0.13462141349175044	0.0	0.11192085408776115	0.13036254081083057	0.14995926213018787	0.1346784992447812	0.07394187936039193	0.0873626536434073	0.10751567262362513	0.22804704645315227	0.13531276743488305	0.18052780594063608	0.1629100219665886	0.13767533251404315	0.14220618676742974	0.13672268838178217	0.14084472281382937	0.12377205467723754	0.11745131664506006	0.09311432801545964
CM246	0.08748532885585962	0.07233859126567521	0.10949039873136267	0.1920841643238368	0.047176647456180804	0.061404505828446115	0.04667787262575638	0.04759683620967879	0.09620800877976728	0.09700648238650178	0.11192085408776115	0.0	0.03743632882252057	0.06097874932465395	0.047612979146107515	0.10557322217948169	0.0804148715694984	0.10497284559723527	0.18184398403563076	0.06864738037560085	0.0854532367520285	0.06963987445596877	0.054989263424213994	0.07701200264080206	0.07322155304659192	0.0973782935388042	0.06608438079346954	0.12577666430757953	0.11852089835674338
CM257	0.07700629297787064	0.07794159503294953	0.12294895671233466	0.18161685279828232	0.05882112343209316	0.07458715688695139	0.050600360805921465	0.04711703501652999	0.1067683948246133	0.10563473860504559	0.13036254081083057	0.03743632882252057	0.0	0.03590437095649906	0.023974998329848504	0.11958083365539147	0.09577418229006943	0.12235597784815844	0.19241169531433677	0.05911023761610186	0.07441040047852596	0.05811012402285154	0.0474465928639768	0.061989307443344	0.05868218512978893	0.08642709685234094	0.08408642932117984	0.14649679992138306	0.13510614502338497
CM259	0.09315922214102074	0.09536059825329628	0.1383399771847704	0.2030674527103668	0.06776652613273165	0.08828257958764227	0.05710302235180067	0.0641998984309308	0.1097573926225811	0.11323984889127418	0.14995926213018787	0.06097874932465395	0.03590437095649906	0.0	0.024717284397871356	0.13721279662255026	0.11308257794523963	0.13860975121028116	0.20863061743767042	0.07706246642227667	0.05748986036794134	0.048554550283392825	0.0648697328554806	0.059631969213276514	0.05769744671658182	0.10096139340904285	0.09849869926780314	0.16362712227947462	0.15471135472779174
CM260	0.07896748194019816	0.07984025494013833	0.12386761300831269	0.18869698944407542	0.05310778911820655	0.07092750498069685	0.04544851722708447	0.049393175085326105	0.0967720470648479	0.09880454016312118	0.1346784992447812	0.047612979146107515	0.023974998329848504	0.024717284397871356	0.0	0.1228298421247179	0.09945947052675078	0.12288937834729613	0.1950933820466721	0.062002265130512706	0.06874918655159026	0.05972754189982142	0.05210609661989321	0.06286899311842785	0.05878936024009817	0.08507171667167018	0.08921161055483107	0.1480781422465711	0.13729720542827223
CM261	0.13266628776034456	0.09166090889923276	0.0974037949319747	0.24743919384412846	0.09031254450976275	0.07546531836020849	0.1045671243678556	0.08549507942936098	0.09928170997161243	0.10620682387580922	0.07394187936039193	0.10557322217948169	0.11958083365539147	0.13721279662255026	0.1228298421247179	0.0	0.03755720970394991	0.05771872581519732	0.19772792728876215	0.10306711627739604	0.16918708024640589	0.14951792502809366	0.12685795382764722	0.10734053828827662	0.11256259771859187	0.09711298685597272	0.10312001595661589	0.07364836028900175	0.09296953864383249
CM262	0.11076550935593286	0.07821284100864496	0.11778516132395586	0.23570088818809048	0.07051017993800246	0.056993093489534304	0.08143116360389427	0.06392153265615406	0.08773650969303368	0.09361517444996162	0.0873626536434073	0.0804148715694984	0.09577418229006943	0.11308257794523963	0.09945947052675078	0.03755720970394991	0.0	0.043333704173803306	0.18585130708522382	0.08681127757570908	0.1423551403339711	0.12281566333003414	0.10035222587617224	0.08462280869899673	0.08982957890536446	0.0768420862608048	0.07541943557284102	0.07639965554639169	0.1121892055087142
CM293	0.12587437391584888	0.08272622173379499	0.10499828252166563	0.21912169083183275	0.09273991464605023	0.07524169964940293	0.10377743646714814	0.08449275177181605	0.08034903370977531	0.08333961778408541	0.10751567262362513	0.10497284559723527	0.12235597784815844	0.13860975121028116	0.12288937834729613	0.05771872581519732	0.043333704173803306	0.0	0.1717824376848355	0.08439730379441157	0.16640905881376908	0.14623699579382077	0.12183774703468386	0.10590940426301607	0.10926217439328803	0.07750769957264657	0.09474320660628845	0.08158586505706422	0.09150798729619866
CM362	0.18629124399263303	0.1643740364406686	0.2073447203534148	0.21467541371263554	0.18814913887922233	0.1907634832758735	0.18294191168055962	0.17673710472779713	0.17530024191609378	0.1726557794067694	0.22804704645315227	0.18184398403563076	0.19241169531433677	0.20863061743767042	0.1950933820466721	0.19772792728876215	0.18585130708522382	0.1717824376848355	0.0	0.1716964499994856	0.21558597770827861	0.20544501196171647	0.1899583974912736	0.1906576943504406	0.19439197541625414	0.17768965314996313	0.1834439574796071	0.20270575138732297	0.20297489475167776
CM372	0.080380096974934	0.06135731642745156	0.10947539319597176	0.17430388738949754	0.07527285617243289	0.07608503050598071	0.0735314993155877	0.05300334912219452	0.0891455767692382	0.08932549718731998	0.13531276743488305	0.06864738037560085	0.05911023761610186	0.07706246642227667	0.062002265130512706	0.10306711627739604	0.08681127757570908	0.08439730379441157	0.1716964499994856	0.0	0.10230365421165943	0.08231903494695733	0.0636003856467898	0.05512829181443316	0.05878804317109211	0.06610753124152909	0.10089215406871894	0.12241030711217689	0.10857403642384274
CM436	0.10014371006952096	0.12852626772023437	0.16813804252169406	0.20812582640142557	0.10519375933558989	0.12006809868159482	0.10262770970849958	0.10583647633806481	0.14826772649780917	0.15102371198477993	0.18052780594063608	0.0854532367520285	0.07441040047852596	0.05748986036794134	0.06874918655159026	0.16918708024640589	0.1423551403339711	0.16640905881376908	0.21558597770827861	0.10230365421165943	0.0	0.027290693827134446	0.05892634539284527	0.08033285255893344	0.07960270780820755	0.1232269682615306	0.10495433682664534	0.17410048888684598	0.17521404267814672
CM437	0.08580911670984472	0.11083132381324677	0.16005240937277354	0.2025512572684859	0.0944631903597158	0.10746704656717385	0.09438705373395168	0.08963070198259658	0.13994795962561207	0.1419633216924689	0.1629100219665886	0.06963987445596877	0.05811012402285154	0.048554550283392825	0.05972754189982142	0.14951792502809366	0.12281566333003414	0.14623699579382077	0.20544501196171647	0.08231903494695733	0.027290693827134446	0.0	0.039398263174272107	0.06330130743035511	0.062011714531987644	0.1060182476381652	0.0879560265570325	0.1575523390000573	0.1637621382643218
CM438	0.06861869019864208	0.08944678968636616	0.14640453374904014	0.18831694000805338	0.08350519782410615	0.09674920993416691	0.08453991536909175	0.07527881574731034	0.1311461719889635	0.1319370844731259	0.13767533251404315	0.054989263424213994	0.0474465928639768	0.0648697328554806	0.05210609661989321	0.12685795382764722	0.10035222587617224	0.12183774703468386	0.1899583974912736	0.0636003856467898	0.05892634539284527	0.039398263174272107	0.0	0.06444665734688504	0.06156778992492436	0.08279918371273688	0.0760418603623161	0.1334417000488265	0.13894985014365996
CM444	0.07789971339167381	0.07573436954424063	0.14364586399175322	0.19409793202478656	0.08701434634132926	0.09137533114858636	0.08346714080829344	0.06288644903426734	0.11586481268743615	0.11795635686513223	0.14220618676742974	0.07701200264080206	0.061989307443344	0.059631969213276514	0.06286899311842785	0.10734053828827662	0.08462280869899673	0.10590940426301607	0.1906576943504406	0.05512829181443316	0.08033285255893344	0.06330130743035511	0.06444665734688504	0.0	0.02244864716277211	0.06455624960562566	0.09795081151458872	0.13246758647089385	0.13903043181812544
CM452	0.07050219919109006	0.07062033982835557	0.14141883480534884	0.19214496451446453	0.08330858851703661	0.08833886228247696	0.08057129122687964	0.05986926613063542	0.11756275948822266	0.11891852866574082	0.13672268838178217	0.07322155304659192	0.05868218512978893	0.05769744671658182	0.05878936024009817	0.11256259771859187	0.08982957890536446	0.10926217439328803	0.19439197541625414	0.05878804317109211	0.07960270780820755	0.062011714531987644	0.06156778992492436	0.02244864716277211	0.0	0.0676328043686223	0.09500196155198468	0.13464649083039595	0.1310163631034836
CM469	0.0864154157919687	0.07211726873045012	0.15504294821111705	0.21053586658535303	0.10139497557663654	0.10294129688709901	0.10434230947001093	0.08012158529139674	0.12067062345689535	0.12183500000357264	0.14084472281382937	0.0973782935388042	0.08642709685234094	0.10096139340904285	0.08507171667167018	0.09711298685597272	0.0768420862608048	0.07750769957264657	0.17768965314996313	0.06610753124152909	0.1232269682615306	0.1060182476381652	0.08279918371273688	0.06455624960562566	0.0676328043686223	0.0	0.07532605559810135	0.08495516544729112	0.13633162096835427
CM471	0.09981225139196723	0.09190195471261685	0.1508856199523023	0.23754579250061272	0.08533240227572281	0.09150322628982628	0.0960347486241746	0.08671690036087816	0.12290071918020336	0.12432335969737955	0.12377205467723754	0.06608438079346954	0.08408642932117984	0.09849869926780314	0.08921161055483107	0.10312001595661589	0.07541943557284102	0.09474320660628845	0.1834439574796071	0.10089215406871894	0.10495433682664534	0.0879560265570325	0.0760418603623161	0.09795081151458872	0.09500196155198468	0.07532605559810135	0.0	0.0820657679732693	0.1349349885516602
CM538	0.12898464084588612	0.1166959276834934	0.13454826583407778	0.2644290168885246	0.12978205548086866	0.11224026566093674	0.14053230999792324	0.12112424168545619	0.1309442029365411	0.13451437950178152	0.11745131664506006	0.12577666430757953	0.14649679992138306	0.16362712227947462	0.1480781422465711	0.07364836028900175	0.07639965554639169	0.08158586505706422	0.20270575138732297	0.12241030711217689	0.17410048888684598	0.1575523390000573	0.1334417000488265	0.13246758647089385	0.13464649083039595	0.08495516544729112	0.0820657679732693	0.0	0.11811579331541848
CM557	0.1333723115360289	0.1010350862328855	0.044516457914681166	0.19873930739147752	0.12719447293966965	0.11093634726526756	0.11724279417369214	0.11598116790648373	0.10066872763452261	0.09294878141334979	0.09311432801545964	0.11852089835674338	0.13510614502338497	0.15471135472779174	0.13729720542827223	0.09296953864383249	0.1121892055087142	0.09150798729619866	0.20297489475167776	0.10857403642384274	0.17521404267814672	0.1637621382643218	0.13894985014365996	0.13903043181812544	0.1310163631034836	0.13633162096835427	0.1349349885516602	0.11811579331541848	0.0
